"State Name","County Name","FIPSST","FIPSCNTY","FIPS","SSAST","SSACNTY","SSA","Eligibles","Enrolled","Penetration"
"Alabama","Autauga","01","001","01001","01","000","01000","10,792","4,803","44.51%"
"Alabama","Baldwin","01","003","01003","01","010","01010","50,168","21,010","41.88%"
"Alabama","Barbour","01","005","01005","01","020","01020","6,441","1,909","29.64%"
"Alabama","Bibb","01","007","01007","01","030","01030","4,954","2,381","48.06%"
"Alabama","Blount","01","009","01009","01","040","01040","12,564","6,363","50.64%"
"Alabama","Bullock","01","011","01011","01","050","01050","2,107","726","34.46%"
"Alabama","Butler","01","013","01013","01","060","01060","4,873","1,014","20.81%"
"Alabama","Calhoun","01","015","01015","01","070","01070","27,598","6,950","25.18%"
"Alabama","Chambers","01","017","01017","01","080","01080","8,933","2,243","25.11%"
"Alabama","Cherokee","01","019","01019","01","090","01090","7,093","2,273","32.05%"
"Alabama","Chilton","01","021","01021","01","100","01100","9,306","5,082","54.61%"
"Alabama","Choctaw","01","023","01023","01","110","01110","3,845","676","17.58%"
"Alabama","Clarke","01","025","01025","01","120","01120","6,463","2,440","37.75%"
"Alabama","Clay","01","027","01027","01","130","01130","3,708","907","24.46%"
"Alabama","Cleburne","01","029","01029","01","140","01140","3,543","713","20.12%"
"Alabama","Coffee","01","031","01031","01","150","01150","10,563","2,013","19.06%"
"Alabama","Colbert","01","033","01033","01","160","01160","13,927","3,147","22.60%"
"Alabama","Conecuh","01","035","01035","01","170","01170","3,636","781","21.48%"
"Alabama","Coosa","01","037","01037","01","180","01180","2,719","631","23.21%"
"Alabama","Covington","01","039","01039","01","190","01190","9,787","1,824","18.64%"
"Alabama","Crenshaw","01","041","01041","01","200","01200","3,588","1,237","34.48%"
"Alabama","Cullman","01","043","01043","01","210","01210","19,565","6,668","34.08%"
"Alabama","Dale","01","045","01045","01","220","01220","10,568","1,892","17.90%"
"Alabama","Dallas","01","047","01047","01","230","01230","9,950","3,124","31.40%"
"Alabama","DeKalb","01","049","01049","01","240","01240","15,619","4,332","27.74%"
"Alabama","Elmore","01","051","01051","01","250","01250","16,713","6,474","38.74%"
"Alabama","Escambia","01","053","01053","01","260","01260","8,806","2,829","32.13%"
"Alabama","Etowah","01","055","01055","01","270","01270","25,730","9,523","37.01%"
"Alabama","Fayette","01","057","01057","01","280","01280","4,941","1,190","24.08%"
"Alabama","Franklin","01","059","01059","01","290","01290","6,779","1,227","18.10%"
"Alabama","Geneva","01","061","01061","01","300","01300","6,930","1,293","18.66%"
"Alabama","Greene","01","063","01063","01","310","01310","2,300","431","18.74%"
